,ERAIL Occurrence,model_type,iteration_number,LLM_Date,Date of occurrence,Date_Match,LLM_Time,Time of occurrence,Time_Match,LLM_Country,Country,Country_Match,LLM_AccidentType,Occurrence type,AccidentType_Match,LLM_RegulatoryBody,Reporting Body,RegulatoryBody_Match,LLM_ContributingFactor,"Direct cause description (including causal and contributing factors, excluding those of systemic nature)",ContributingFactors_Match,LLM_SystemicFactor,"Underlying and root causes description (i.e. systemic factors, if any)",SystemicFactors_Match
10,IE-6305,gpt-4o-mini,2,06/07/2020,07/07/2020,Mismatch,14:25,00:00,Mismatch,Ireland,Ireland,Match,Structures failure,Other event,Mismatch,Railway Accident Investigation Unit,Railway Safety Commission,Mismatch,Experience,"The Chassis Plate of Locomotive 224 failed as a result of the following causal factor:
• CaF-01 – The flat Bed Plates were not replaced with cupped Bed Plates when Bed 
Plate cracks were identified as set out in the OEM Service Advisory SA 08-007;
• CaF-02 – During a weld repair of the Bed Plate the Bed Plate was unnecessarily 
welded to the Chassis Plate.

Contributory factors include:
• CoF-01 – IÉ-RU had not adopted the EN 15085 standard series, entitled “Railway 
applications – Welding of railway vehicles and components” which were first 
published in 2007; although it is noted that this standard series is not mandatory;
• CoF-02 – While Service Advisory (SA 08-007) was available to the welder carrying 
out the repair through the CME Maintenance work stations, the implications of the 
modification were not discussed at IÉ management level prior to the incident and 
materials for the modification (cupped Bed Plates) were not procured.",Mismatch,Safety Policy,"Systemic factors include:
• SF-01 – There was an over-reliance on the knowledge of the welder to develop 
and carry out a repair procedure without any formal instruction or supervision.

Although not causal, contributing or systemic, the RAIU make the following additional 
observation:
• AO-01 – The 201 Locomotive axle loads recorded by the acoustic bearing monitors 
indicate that the specified axle load may have been exceeded.",Mismatch
11,IE-10375,gpt-4o-mini,2,26/08/2021,27/08/2021,Mismatch,23:00,00:20,Mismatch,Ireland,Ireland,Match,Collisions,Other event,Mismatch,Iarnród Éireann Infrastructure Manager,NIB IE,Mismatch,"Reinforcement, Relationships","The ES instructed the work party to access the work site without the authorisation of the Person in Charge of Possession (PICOP); a violation of the requirements set out in Section T, Part Three, of the IÉ Rule Book. The ES erroneously thought that the last train had passed through the worksite",Mismatch,"Learning from accidents and incidents, Safety objectives and planning","The Safety Tours, as set out in the “Safety Tours and Compliance Verification” document (CCE-SMS-008), were ineffective at capturing rule breaks prior to possessions being granted, such as work parties accessing the railway before the possession being granted and equipment left near the railway line overnight",Mismatch
12,IE-10397,gpt-4o-mini,2,07/12/2021,07/12/2021,Match,15:59,16:05,Mismatch,Ireland,Ireland,Match,Signal passed at danger without passing a danger point,Operational event,Mismatch,Iarnród Éireann Railway Undertaking (IÉ-RU),NIB IE,Mismatch,"Environment, Fatigue",·        Driver E240 had an over-reliance on the ATP system to control the speed of the train;,Mismatch,"Competence, Learning from accidents and incidents, Safety objectives and planning",The competency management system for drivers did not identify that drivers may be over-reliant on the ATP resulting in no requirement for DTEs to check for ATP penalty brake applications,Mismatch
13,IE-10404,gpt-4o-mini,2,22/02/2023,22/02/2023,Match,07:56,11:45,Mismatch,Ireland,Ireland,Match,Train available for boarding or alignment outside platform,Broken rails,Mismatch,Railway Accident Investigation Unit,NIB IE,Mismatch,Performance relevant factor,"The mechanism of failure of the weld (outlined in full in paragraphs 87 to 94), was likely
to be as a result of hot tearing, likely as the result of difficulties encountered by the Welders
with the Rail Tensors (the Person in Charge of Stressing did raise concerns about the
condition on the Rail Tensors on the day that the welding took place (paragraph 137))
whereby it was only on their third attempt that the welders gap was achieved and the
holding pressure remained static. The weld was then dropped and before it solidified the
Rail Tensors released enough to cause hot tearing; this release may have been slight
enough to not present on the pressure gauge (paragraph 138). The hot tear would not
have been detected, at this stage, by a visual examination by the Weld Supervisor or by
tests by the Ultrasonic Operator (paragraph 138).
The RAIU have identified the following possible causal factor to the hot tearing of the
weld:
• CaF-01 – The Rail Tensors did not operate correctly at the time of welding, resulting
in the Welders encountering difficulties pulling and holding the rail ends to the required
welders gap; which may have caused the Rail Tensors to release enough holding
pressure to cause a hot tear in the weld (paragraph 142).
No contributory factors were identified.",Mismatch,Asset Management,"The following was identified as a systemic factor in relation to the difficulties
encountered by the Welders:
• SF-01 – Technical Standard for the Stressing of Rail, CCE-TMS-323, did not include
guidance on actions for welders to take once difficulties were encountered with the
Rail Tensors (paragraph 143)",Mismatch
14,IE-6218,gemini-2.5-flash-preview-04-17,1,,11/01/2020,LLM_Data_Missing,10:52,00:00,Mismatch,Ireland,Ireland,Match,Collision of train with obstacle within the clearance gauge,Trains collision with an obstacle,Mismatch,Railway Accident Investigation Unit (RAIU),Railway Safety Commission,Mismatch,"Communication, Communication Means, Instructions, Performance relevant factor",,ERAIL_Data_Missing,Documented information,,ERAIL_Data_Missing
15,IE-6262,gemini-2.5-flash-preview-04-17,1,29/04/20,29/04/2020,Mismatch,13:40,13:40,Match,Ireland,Ireland,Match,Collision of train with obstacle within the clearance gauge,Level crossing accident,Mismatch,Railway Accident Investigation Unit (RAIU),Railway Safety Commission,Mismatch,"Fatigue, Reinforcement",,ERAIL_Data_Missing,,,Match (Both Missing)
16,IE-6291,gemini-2.5-flash-preview-04-17,1,24/05/2020,24/05/2020,Match,12:13,12:15,Mismatch,Ireland,Ireland,Match,Level Crossing Accident,Level crossing event,Mismatch,Railway Accident Investigation Unit,Railway Safety Commission,Mismatch,Design,,ERAIL_Data_Missing,,,Match (Both Missing)
17,IE-6305,gemini-2.5-flash-preview-04-17,1,06/07/20,07/07/2020,Mismatch,14:25,00:00,Mismatch,Ireland,Ireland,Match,Structures failure,Other event,Mismatch,Railway Accident Investigation Unit (RAIU),Railway Safety Commission,Mismatch,"Involvement, Performance relevant factor","The Chassis Plate of Locomotive 224 failed as a result of the following causal factor:
• CaF-01 – The flat Bed Plates were not replaced with cupped Bed Plates when Bed 
Plate cracks were identified as set out in the OEM Service Advisory SA 08-007;
• CaF-02 – During a weld repair of the Bed Plate the Bed Plate was unnecessarily 
welded to the Chassis Plate.

Contributory factors include:
• CoF-01 – IÉ-RU had not adopted the EN 15085 standard series, entitled “Railway 
applications – Welding of railway vehicles and components” which were first 
published in 2007; although it is noted that this standard series is not mandatory;
• CoF-02 – While Service Advisory (SA 08-007) was available to the welder carrying 
out the repair through the CME Maintenance work stations, the implications of the 
modification were not discussed at IÉ management level prior to the incident and 
materials for the modification (cupped Bed Plates) were not procured.",Mismatch,Competence,"Systemic factors include:
• SF-01 – There was an over-reliance on the knowledge of the welder to develop 
and carry out a repair procedure without any formal instruction or supervision.

Although not causal, contributing or systemic, the RAIU make the following additional 
observation:
• AO-01 – The 201 Locomotive axle loads recorded by the acoustic bearing monitors 
indicate that the specified axle load may have been exceeded.",Mismatch
18,IE-10375,gemini-2.5-flash-preview-04-17,1,26/08/2021,27/08/2021,Mismatch,23:00,00:20,Mismatch,Ireland,Ireland,Match,Collision of train with obstacle within the clearance gauge,Other event,Mismatch,Railway Accident Investigation Unit (RAIU),NIB IE,Mismatch,"Reinforcement, Relationships","The ES instructed the work party to access the work site without the authorisation of the Person in Charge of Possession (PICOP); a violation of the requirements set out in Section T, Part Three, of the IÉ Rule Book. The ES erroneously thought that the last train had passed through the worksite",Mismatch,Safety Policy,"The Safety Tours, as set out in the “Safety Tours and Compliance Verification” document (CCE-SMS-008), were ineffective at capturing rule breaks prior to possessions being granted, such as work parties accessing the railway before the possession being granted and equipment left near the railway line overnight",Mismatch
19,IE-10397,gemini-2.5-flash-preview-04-17,1,07/12/21,07/12/2021,Mismatch,16:03,16:05,Mismatch,Ireland,Ireland,Match,Signal passed at danger with passing of a danger point,Operational event,Mismatch,Railway Accident Investigation Unit (RAIU),NIB IE,Mismatch,"Fatigue, Other dynamic situational factors, Performance relevant factor, Reinforcement, Tools",·        Driver E240 had an over-reliance on the ATP system to control the speed of the train;,Mismatch,"Actions to address risks, Competence",The competency management system for drivers did not identify that drivers may be over-reliant on the ATP resulting in no requirement for DTEs to check for ATP penalty brake applications,Mismatch
20,IE-10404,gemini-2.5-flash-preview-04-17,1,22/02/2023,22/02/2023,Match,10:35,11:45,Mismatch,Ireland,Ireland,Match,Broken rail,Broken rails,Mismatch,Railway Accident Investigation Unit,NIB IE,Mismatch,"Fatigue, Performance relevant factor, Tools","The mechanism of failure of the weld (outlined in full in paragraphs 87 to 94), was likely
to be as a result of hot tearing, likely as the result of difficulties encountered by the Welders
with the Rail Tensors (the Person in Charge of Stressing did raise concerns about the
condition on the Rail Tensors on the day that the welding took place (paragraph 137))
whereby it was only on their third attempt that the welders gap was achieved and the
holding pressure remained static. The weld was then dropped and before it solidified the
Rail Tensors released enough to cause hot tearing; this release may have been slight
enough to not present on the pressure gauge (paragraph 138). The hot tear would not
have been detected, at this stage, by a visual examination by the Weld Supervisor or by
tests by the Ultrasonic Operator (paragraph 138).
The RAIU have identified the following possible causal factor to the hot tearing of the
weld:
• CaF-01 – The Rail Tensors did not operate correctly at the time of welding, resulting
in the Welders encountering difficulties pulling and holding the rail ends to the required
welders gap; which may have caused the Rail Tensors to release enough holding
pressure to cause a hot tear in the weld (paragraph 142).
No contributory factors were identified.",Mismatch,"Competence, Continual improvement, Contractors, partners and suppliers, Documented information, Monitoring, Safety Policy","The following was identified as a systemic factor in relation to the difficulties
encountered by the Welders:
• SF-01 – Technical Standard for the Stressing of Rail, CCE-TMS-323, did not include
guidance on actions for welders to take once difficulties were encountered with the
Rail Tensors (paragraph 143)",Mismatch
21,IE-6218,gemini-2.5-flash-preview-04-17,2,,11/01/2020,LLM_Data_Missing,10:52,00:00,Mismatch,Ireland,Ireland,Match,Collision of train with obstacle within the clearance gauge,Trains collision with an obstacle,Mismatch,Railway Accident Investigation Unit (RAIU),Railway Safety Commission,Mismatch,"Communication, Instructions, Involvement, Other dynamic situational factors, Performance relevant factor",,ERAIL_Data_Missing,Safety objectives and planning,,ERAIL_Data_Missing
22,IE-6262,gemini-2.5-flash-preview-04-17,2,29/04/20,29/04/2020,Mismatch,13:40,13:40,Match,Ireland,Ireland,Match,AccidentType: Level Crossing Accident,Level crossing accident,Mismatch,Railway Accident Investigation Unit (RAIU),Railway Safety Commission,Mismatch,"Fatigue, Reinforcement",,ERAIL_Data_Missing,,,Match (Both Missing)
23,IE-6291,gemini-2.5-flash-preview-04-17,2,24/05/2020,24/05/2020,Match,12:13,12:15,Mismatch,Ireland,Ireland,Match,Other level crossing accident,Level crossing event,Mismatch,Railway Accident Investigation Unit,Railway Safety Commission,Mismatch,Awareness,,ERAIL_Data_Missing,,,Match (Both Missing)
24,IE-6305,gemini-2.5-flash-preview-04-17,2,06/07/20,07/07/2020,Mismatch,14:25,00:00,Mismatch,Ireland,Ireland,Match,Structures failure,Other event,Mismatch,Railway Accident Investigation Unit (RAIU),Railway Safety Commission,Mismatch,"Fatigue, Involvement, Performance relevant factor","The Chassis Plate of Locomotive 224 failed as a result of the following causal factor:
• CaF-01 – The flat Bed Plates were not replaced with cupped Bed Plates when Bed 
Plate cracks were identified as set out in the OEM Service Advisory SA 08-007;
• CaF-02 – During a weld repair of the Bed Plate the Bed Plate was unnecessarily 
welded to the Chassis Plate.

Contributory factors include:
• CoF-01 – IÉ-RU had not adopted the EN 15085 standard series, entitled “Railway 
applications – Welding of railway vehicles and components” which were first 
published in 2007; although it is noted that this standard series is not mandatory;
• CoF-02 – While Service Advisory (SA 08-007) was available to the welder carrying 
out the repair through the CME Maintenance work stations, the implications of the 
modification were not discussed at IÉ management level prior to the incident and 
materials for the modification (cupped Bed Plates) were not procured.",Mismatch,Competence,"Systemic factors include:
• SF-01 – There was an over-reliance on the knowledge of the welder to develop 
and carry out a repair procedure without any formal instruction or supervision.

Although not causal, contributing or systemic, the RAIU make the following additional 
observation:
• AO-01 – The 201 Locomotive axle loads recorded by the acoustic bearing monitors 
indicate that the specified axle load may have been exceeded.",Mismatch
25,IE-10375,gemini-2.5-flash-preview-04-17,2,26/08/21,27/08/2021,Mismatch,23:00,00:20,Mismatch,Ireland,Ireland,Match,Collision of train with obstacle within the clearance gauge,Other event,Mismatch,RAIU,NIB IE,Mismatch,Reinforcement,"The ES instructed the work party to access the work site without the authorisation of the Person in Charge of Possession (PICOP); a violation of the requirements set out in Section T, Part Three, of the IÉ Rule Book. The ES erroneously thought that the last train had passed through the worksite",Mismatch,Safety Policy,"The Safety Tours, as set out in the “Safety Tours and Compliance Verification” document (CCE-SMS-008), were ineffective at capturing rule breaks prior to possessions being granted, such as work parties accessing the railway before the possession being granted and equipment left near the railway line overnight",Mismatch
26,IE-10397,gemini-2.5-flash-preview-04-17,2,07/12/2021,07/12/2021,Match,16:03,16:05,Mismatch,Ireland,Ireland,Match,Signal passed at danger with passing of a danger point,Operational event,Mismatch,Railway Accident Investigation Unit (RAIU),NIB IE,Mismatch,"Fatigue, Other dynamic situational factors, Performance relevant factor, Reinforcement, Tools",·        Driver E240 had an over-reliance on the ATP system to control the speed of the train;,Mismatch,"Competence, Safety Policy",The competency management system for drivers did not identify that drivers may be over-reliant on the ATP resulting in no requirement for DTEs to check for ATP penalty brake applications,Mismatch
27,IE-10404,gemini-2.5-flash-preview-04-17,2,22/02/2023,22/02/2023,Match,10:35,11:45,Mismatch,Ireland,Ireland,Match,Broken rail,Broken rails,Mismatch,Railway Accident Investigation Unit (RAIU),NIB IE,Mismatch,"Design, Fatigue, Performance relevant factor, Tools","The mechanism of failure of the weld (outlined in full in paragraphs 87 to 94), was likely
to be as a result of hot tearing, likely as the result of difficulties encountered by the Welders
with the Rail Tensors (the Person in Charge of Stressing did raise concerns about the
condition on the Rail Tensors on the day that the welding took place (paragraph 137))
whereby it was only on their third attempt that the welders gap was achieved and the
holding pressure remained static. The weld was then dropped and before it solidified the
Rail Tensors released enough to cause hot tearing; this release may have been slight
enough to not present on the pressure gauge (paragraph 138). The hot tear would not
have been detected, at this stage, by a visual examination by the Weld Supervisor or by
tests by the Ultrasonic Operator (paragraph 138).
The RAIU have identified the following possible causal factor to the hot tearing of the
weld:
• CaF-01 – The Rail Tensors did not operate correctly at the time of welding, resulting
in the Welders encountering difficulties pulling and holding the rail ends to the required
welders gap; which may have caused the Rail Tensors to release enough holding
pressure to cause a hot tear in the weld (paragraph 142).
No contributory factors were identified.",Mismatch,"Documented information, Monitoring, Safety Policy, Safety objectives and planning","The following was identified as a systemic factor in relation to the difficulties
encountered by the Welders:
• SF-01 – Technical Standard for the Stressing of Rail, CCE-TMS-323, did not include
guidance on actions for welders to take once difficulties were encountered with the
Rail Tensors (paragraph 143)",Mismatch
