,ERAIL Occurrence,model_type,LLM_Date,Date of occurrence,Date_Match,LLM_Time,Time of occurrence,Time_Match,LLM_Country,Country,Country_Match,LLM_AccidentType,Occurrence type,AccidentType_Match,LLM_RegulatoryBody,Reporting Body,RegulatoryBody_Match,LLM_ContributingFactor,"Direct cause description (including causal and contributing factors, excluding those of systemic nature)",ContributingFactors_Match,LLM_SystemicFactor,"Underlying and root causes description (i.e. systemic factors, if any)",SystemicFactors_Match
11,AT-0043,gpt-4o-mini,03/02/2012,03/02/2012,Match,13:35,13:35,Match,Österreich,Austria,Mismatch,Zusammenprall,Level crossing accident,Mismatch,Bundesanstalt für Verkehr,Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene,Mismatch,Übersetzen der EK trotz Annäherung des Zuges,"Umfahren der Halbschrankenanlage 
Motorbike circumvent the half-barrier",Mismatch,Veraltete Sicherheitsvorschriften," 
",Mismatch
12,AT-0047,gemini-2.5-pro,29/04/2012,29/04/2012,Match,,12:44,LLM_Data_Missing,Austria,Austria,Match,Collision with car,Level crossing accident,Mismatch,Sicherheitsuntersuchungsstelle des Bundes - Schiene,Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene,Mismatch,,Non-compliance with the provisions relating to the conduct of road vehicles traveling around a level crossing secured with St. Andrew's cross and ensure the required visual space,LLM_Data_Missing,,,Match (Both Missing)
13,AT-0047,gemini-2.5-pro,29/04/2012,29/04/2012,Match,,12:44,LLM_Data_Missing,Austria,Austria,Match,Zusammenprall,Level crossing accident,Mismatch,Sicherheitsuntersuchungsstelle des Bundes,Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene,Mismatch,,Non-compliance with the provisions relating to the conduct of road vehicles traveling around a level crossing secured with St. Andrew's cross and ensure the required visual space,LLM_Data_Missing,,,Match (Both Missing)
14,AT-0047,gpt-4o-mini,29/04/2012,29/04/2012,Match,14:08,12:44,Mismatch,Österreich,Austria,Mismatch,Zusammenprall,Level crossing accident,Mismatch,Unfalluntersuchungsstelle des Bundes,Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene,Mismatch,Registriereinrichtung des Tfz,Non-compliance with the provisions relating to the conduct of road vehicles traveling around a level crossing secured with St. Andrew's cross and ensure the required visual space,Mismatch,Zugverzögerungen,,ERAIL_Data_Missing
15,AT-0047,gpt-4o-mini,29/04/2012,29/04/2012,Match,14:08,12:44,Mismatch,Österreich,Austria,Mismatch,Collision,Level crossing accident,Mismatch,Sicherheitsuntersuchungsstelle des Bundes,Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene,Mismatch,Schnellbremsung,Non-compliance with the provisions relating to the conduct of road vehicles traveling around a level crossing secured with St. Andrew's cross and ensure the required visual space,Mismatch,Signalverhalten,,ERAIL_Data_Missing
16,AT-0048,gemini-2.5-pro,09/05/2012,09/05/2012,Match,14:15,14:15,Match,Austria,Austria,Match,Collision,Level crossing accident,Mismatch,Sicherheitsuntersuchungsstelle des Bundes - Schiene,Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene,Mismatch,Human error of the road user,"Auf Grund der vorliegenden Erkenntnisse ist davon auszugehen, dass die Ursache in einer menschlichen Fehlhandlung des Straßenverkehrsteilnehmers begründet ist. 
Based on the current findings it can be assumed that the cause is due to a human error of road user.",Mismatch,," 
",LLM_Data_Missing
17,AT-0048,gemini-2.5-pro,09/05/2012,09/05/2012,Match,14:15,14:15,Match,Austria,Austria,Match,Level Crossing Accident involving a train,Level crossing accident,Mismatch,Sicherheitsuntersuchungsstelle des Bundes - Schiene,Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene,Mismatch,Human error (road user),"Auf Grund der vorliegenden Erkenntnisse ist davon auszugehen, dass die Ursache in einer menschlichen Fehlhandlung des Straßenverkehrsteilnehmers begründet ist. 
Based on the current findings it can be assumed that the cause is due to a human error of road user.",Mismatch,Missing speed restriction sign," 
",Mismatch
18,AT-0048,gpt-4o-mini,09/05/2012,09/05/2012,Match,14:15,14:15,Match,Österreich,Austria,Mismatch,Level Crossing Accident,Level crossing accident,Mismatch,Bundesanstalt für Verkehr,Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene,Mismatch,Human Error,"Auf Grund der vorliegenden Erkenntnisse ist davon auszugehen, dass die Ursache in einer menschlichen Fehlhandlung des Straßenverkehrsteilnehmers begründet ist. 
Based on the current findings it can be assumed that the cause is due to a human error of road user.",Mismatch,Non-compliance with traffic signal," 
",Mismatch
19,AT-0048,gpt-4o-mini,09/05/2012,09/05/2012,Match,14:15,14:15,Match,Österreich,Austria,Mismatch,Zusammenprall,Level crossing accident,Mismatch,Bundesanstalt für Verkehr,Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene,Mismatch,Menschliches Versagen,"Auf Grund der vorliegenden Erkenntnisse ist davon auszugehen, dass die Ursache in einer menschlichen Fehlhandlung des Straßenverkehrsteilnehmers begründet ist. 
Based on the current findings it can be assumed that the cause is due to a human error of road user.",Mismatch,Sicherheitsvorkehrungen," 
",Mismatch
20,AT-0064,gemini-2.5-pro,03/07/2012,03/07/2012,Match,16:40,16:40,Match,Österreich,Austria,Mismatch,Entgleisung,Train derailment,Mismatch,Sicherheitsuntersuchungsstelle des Bundes,Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene,Mismatch,"Starkregen, Unterspülung des Gleisbettes und des Unterbaues, Verklausung eines Durchlasses, schadhafte Gleislage",Due to heavy rainfall a small creek was stepped out of its shore. The clogging of a creek passage prevented the outflow and caused a washout of the track bed and the substructure.,Mismatch,,,Match (Both Missing)
21,AT-0064,gemini-2.5-pro,03/07/2012,03/07/2012,Match,16:40,16:40,Match,Austria,Austria,Match,Derailment,Train derailment,Mismatch,Sicherheitsuntersuchungsstelle des Bundes,Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene,Mismatch,"Clogging of a culvert, Damaged track position, Heavy rainfall, Mudslides, Washout of the track bed and substructure",Due to heavy rainfall a small creek was stepped out of its shore. The clogging of a creek passage prevented the outflow and caused a washout of the track bed and the substructure.,Mismatch,,,Match (Both Missing)
22,AT-0064,gpt-4o-mini,03/07/2012,03/07/2012,Match,16:40,16:40,Match,Austria,Austria,Match,Derailment,Train derailment,Mismatch,Bundesanstalt für Verkehr,Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene,Mismatch,Weather Conditions,Due to heavy rainfall a small creek was stepped out of its shore. The clogging of a creek passage prevented the outflow and caused a washout of the track bed and the substructure.,Mismatch,Infrastructure Management,,ERAIL_Data_Missing
23,AT-0064,gpt-4o-mini,03/07/2012,03/07/2012,Match,16:40,16:40,Match,Österreich,Austria,Mismatch,Entgleisung,Train derailment,Mismatch,Landeshauptmann von der Steiermark,Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene,Mismatch,Schadhafter Gleislage,Due to heavy rainfall a small creek was stepped out of its shore. The clogging of a creek passage prevented the outflow and caused a washout of the track bed and the substructure.,Mismatch,Schwere Regenfälle,,ERAIL_Data_Missing
24,AT-0077,gemini-2.5-pro,29/09/2011,29/09/2011,Match,14:29,14:29,Match,Austria,Austria,Match,Entgleisung,Train derailment,Mismatch,Sicherheitsuntersuchungsstelle des Bundes – Schiene,Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene,Mismatch,"Track twist, Vehicle loading",Track position error. Theis error was not detected during the maintenance work.,Mismatch,Maintenance management,,ERAIL_Data_Missing
25,AT-0077,gemini-2.5-pro,29/09/2011,29/09/2011,Match,14:29,14:29,Match,Austria,Austria,Match,Derailment,Train derailment,Mismatch,Bundesanstalt für Verkehr,Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene,Mismatch,"Improper loading, Poor track geometry",Track position error. Theis error was not detected during the maintenance work.,Mismatch,Inadequate maintenance management,,ERAIL_Data_Missing
26,AT-0077,gpt-4o-mini,29/09/2011,29/09/2011,Match,14:29,14:29,Match,Österreich,Austria,Mismatch,Entgleisung,Train derailment,Mismatch,"Bundesministerien für Verkehr, Innovation und Technologie",Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene,Mismatch,Lastenverladung,Track position error. Theis error was not detected during the maintenance work.,Mismatch,Infrastruktur und Fahrzeugschäden,,ERAIL_Data_Missing
27,AT-0077,gpt-4o-mini,29/09/2011,29/09/2011,Match,14:29,14:29,Match,Austria,Austria,Match,Derailed train accident,Train derailment,Mismatch,Bundesanstalt für Verkehr,Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene,Mismatch,Load loss (gypsum),Track position error. Theis error was not detected during the maintenance work.,Mismatch,Infrastructure condition,,ERAIL_Data_Missing
28,AT-0078,gemini-2.5-pro,22/05/2012,22/05/2012,Match,07:36,07:36,Match,Austria,Austria,Match,Collision,Level crossing accident,Mismatch,Sicherheitsuntersuchungsstelle des Bundes – Schiene,Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene,Mismatch,"Insufficiently visible road markings, Non-observance of level crossing rules by road user",Non-compliance with the provisions relating to the conduct of road users when driving on a level crossing secured with traffic light sign.,Mismatch,"Infrastructure maintenance, Level crossing evaluation process, Vehicle registration compliance",,ERAIL_Data_Missing
29,AT-0078,gemini-2.5-pro,22/05/2012,22/05/2012,Match,07:36,07:36,Match,Austria,Austria,Match,Collision with a car at a level crossing,Level crossing accident,Mismatch,Sicherheitsuntersuchungsstelle des Bundes - Schiene,Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene,Mismatch,"Insufficiently visible road markings, Non-observance of level crossing signals by road user",Non-compliance with the provisions relating to the conduct of road users when driving on a level crossing secured with traffic light sign.,Mismatch,"Invalid vehicle registration in the train consist, Need for evaluation of the level crossing",,ERAIL_Data_Missing
30,AT-0078,gpt-4o-mini,22/05/2012,22/05/2012,Match,07:36,07:36,Match,Österreich,Austria,Mismatch,Kollision mit PKW,Level crossing accident,Mismatch,Sicherheitsuntersuchungsstelle des Bundes,Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene,Mismatch,Nichtbeachtung der Bestimmungen der EKVO,Non-compliance with the provisions relating to the conduct of road users when driving on a level crossing secured with traffic light sign.,Mismatch,Unzureichende Sichtbarkeit der Bodenmarkierungen,,ERAIL_Data_Missing
31,AT-0078,gpt-4o-mini,22/05/2012,22/05/2012,Match,07:36,07:36,Match,Austria,Austria,Match,Level Crossing Accident,Level crossing accident,Mismatch,Bundesanstalt für Verkehr,Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene,Mismatch,Driver's disregard for traffic signals,Non-compliance with the provisions relating to the conduct of road users when driving on a level crossing secured with traffic light sign.,Mismatch,Insufficient visibility of traffic signals,,ERAIL_Data_Missing
32,AT-0081,gemini-2.5-pro,28/12/2011,28/12/2011,Match,10:17,10:17,Match,Austria,Austria,Match,Collision,Level crossing accident,Mismatch,Sicherheitsuntersuchungsstelle des Bundes – Schiene,Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene,Mismatch,Non-observance of level crossing regulations by road user,"Human error. Failure to follow the rules for road users for driving on a level crossing secured with St. Andrews cross, stop sign and acoustic signal from the rail vehicle.",Mismatch,Outdated level crossing safety assessment and signage,,ERAIL_Data_Missing
33,AT-0081,gemini-2.5-pro,28/12/2011,28/12/2011,Match,10:17,10:17,Match,Austria,Austria,Match,Level Crossing Accident,Level crossing accident,Mismatch,Bundesanstalt für Verkehr,Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene,Mismatch,Non-observance of level crossing regulations by road user,"Human error. Failure to follow the rules for road users for driving on a level crossing secured with St. Andrews cross, stop sign and acoustic signal from the rail vehicle.",Mismatch,Outdated level crossing approval,,ERAIL_Data_Missing
34,AT-0081,gpt-4o-mini,28/12/2011,28/12/2011,Match,10:17,10:17,Match,Austria,Austria,Match,Collision with vehicle,Level crossing accident,Mismatch,Austrian Federal Agency for Transport,Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene,Mismatch,Driver's failure to comply with regulations,"Human error. Failure to follow the rules for road users for driving on a level crossing secured with St. Andrews cross, stop sign and acoustic signal from the rail vehicle.",Mismatch,Lack of technical safety at crossing,,ERAIL_Data_Missing
35,AT-0081,gpt-4o-mini,28/12/2011,28/12/2011,Match,10:17,10:17,Match,Österreich,Austria,Mismatch,Zusammenprall,Level crossing accident,Mismatch,Bundesanstalt für Verkehr,Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene,Mismatch,Nichtbeachtung der Bestimmungen der EKVO,"Human error. Failure to follow the rules for road users for driving on a level crossing secured with St. Andrews cross, stop sign and acoustic signal from the rail vehicle.",Mismatch,Fehlende technische Sicherung,,ERAIL_Data_Missing
36,AT-0134,gemini-2.5-pro,12/01/2012,12/01/2012,Match,15:23,15:23,Match,Austria,Austria,Match,Collision at a level crossing,Level crossing accident,Mismatch,Bundesanstalt für Verkehr,Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene,Mismatch,Non-compliance with level crossing regulations by road user,"Human error. Failure to follow the rules for road users for driving over a level crossing secured by St. Andrews cross, stop sign and acoustic signals by the rail vehicle.",Mismatch,"Inadequate maintenance of road markings, Need for evaluation of level crossing safety standards",,ERAIL_Data_Missing
37,AT-0134,gemini-2.5-pro,12/01/2012,12/01/2012,Match,15:23,15:23,Match,Austria,Austria,Match,Collision,Level crossing accident,Mismatch,Sicherheitsuntersuchungsstelle des Bundes - Schiene,Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene,Mismatch,Non-compliance with level crossing regulations by road user,"Human error. Failure to follow the rules for road users for driving over a level crossing secured by St. Andrews cross, stop sign and acoustic signals by the rail vehicle.",Mismatch,"Inadequate level crossing safety assessment, Lack of road markings renewal",,ERAIL_Data_Missing
38,AT-0134,gpt-4o-mini,12/01/2012,12/01/2012,Match,15:23,15:23,Match,Austria,Austria,Match,Zusammenprall,Level crossing accident,Mismatch,Bundesanstalt für Verkehr,Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene,Mismatch,Nichteinhaltung der Bestimmungen der EKVO,"Human error. Failure to follow the rules for road users for driving over a level crossing secured by St. Andrews cross, stop sign and acoustic signals by the rail vehicle.",Mismatch,Technische Sicherheit der Eisenbahninfrastruktur,,ERAIL_Data_Missing
39,AT-0134,gpt-4o-mini,12/01/2012,12/01/2012,Match,15:23,15:23,Match,Österreich,Austria,Mismatch,Zusammenprall,Level crossing accident,Mismatch,Bundesanstalt für Verkehr,Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene,Mismatch,Nichteinhaltung der Bestimmungen der EKVO,"Human error. Failure to follow the rules for road users for driving over a level crossing secured by St. Andrews cross, stop sign and acoustic signals by the rail vehicle.",Mismatch,Technische Sicherung der Kreuzungen,,ERAIL_Data_Missing
40,AT-0136,gemini-2.5-pro,04/07/2012,04/07/2012,Match,,16:23,LLM_Data_Missing,Austria,Austria,Match,Level crossing accident,Level crossing accident,Match,Sicherheitsuntersuchungsstelle des Bundes,Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene,Mismatch,"Absence of 'Level Crossing Without Barriers' warning signs, Road user drove onto the crossing despite active warning signals",Human error. Failure to follow the rules for the use of a level crossing secured with level crossing road signals by the road user.,Mismatch,,,Match (Both Missing)
41,AT-0136,gemini-2.5-pro,04/07/2012,04/07/2012,Match,,16:23,LLM_Data_Missing,Österreich,Austria,Mismatch,Collision of train with car,Level crossing accident,Mismatch,Sicherheitsuntersuchungsstelle des Bundes – Schiene,Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene,Mismatch,Failure of road user to obey warning signals,Human error. Failure to follow the rules for the use of a level crossing secured with level crossing road signals by the road user.,Mismatch,Absence of 'Level Crossing without barriers' signs,,ERAIL_Data_Missing
42,AT-0136,gpt-4o-mini,04/07/2012,04/07/2012,Match,17:50,16:23,Mismatch,Österreich,Austria,Mismatch,Collison,Level crossing accident,Mismatch,Landeshauptmann von Niederösterreich,Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene,Mismatch,Verbesserte Signalisierung,Human error. Failure to follow the rules for the use of a level crossing secured with level crossing road signals by the road user.,Mismatch,Eisenbahnkreuzungssicherungsanlage,,ERAIL_Data_Missing
43,AT-0136,gpt-4o-mini,04/07/2012,04/07/2012,Match,17:50,16:23,Mismatch,Österreich,Austria,Mismatch,Zusammenprall,Level crossing accident,Mismatch,Bundesanstalt für Verkehr,Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene,Mismatch,Unbefugte Personen,Human error. Failure to follow the rules for the use of a level crossing secured with level crossing road signals by the road user.,Mismatch,Sichere Zugangsregelungen,,ERAIL_Data_Missing
44,AT-0140,gemini-2.5-pro,17/06/2012,17/06/2012,Match,15:08,15:08,Match,Austria,Austria,Match,Collision at level crossing,Level crossing accident,Mismatch,Sicherheitsuntersuchungsstelle des Bundes,Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene,Mismatch,Car driver ignoring STOP signal,Human error. Failure to follow the rules for the use of a level crossing secured with level crossing road signals by the road user.,Mismatch,,,Match (Both Missing)
45,AT-0140,gemini-2.5-pro,17/06/2012,17/06/2012,Match,15:08,15:08,Match,Österreich,Austria,Mismatch,Zusammenprall,Level crossing accident,Mismatch,Sicherheitsuntersuchungsstelle des Bundes,Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene,Mismatch,Car driver ignored stop signal,Human error. Failure to follow the rules for the use of a level crossing secured with level crossing road signals by the road user.,Mismatch,,,Match (Both Missing)
46,AT-0140,gpt-4o-mini,17/06/2012,17/06/2012,Match,15:08,15:08,Match,Österreich,Austria,Mismatch,Zusammenprall,Level crossing accident,Mismatch,Bundesanstalt für Verkehr,Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene,Mismatch,Fahrer des PKW ignoriert STOP Schild,Human error. Failure to follow the rules for the use of a level crossing secured with level crossing road signals by the road user.,Mismatch,Betriebsabwicklung gemäß Bestimmungen des IM,,ERAIL_Data_Missing
47,AT-0140,gpt-4o-mini,17/06/2012,17/06/2012,Match,15:07,15:08,Mismatch,Austria,Austria,Match,Collision with a car,Level crossing accident,Mismatch,Sicherheitsuntersuchungsstelle des Bundes,Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene,Mismatch,Driver ignoring stop signal,Human error. Failure to follow the rules for the use of a level crossing secured with level crossing road signals by the road user.,Mismatch,Lack of adherence to safety regulations,,ERAIL_Data_Missing
48,AT-0141,gemini-2.5-pro,31/07/2012,31/07/2012,Match,18:56,18:56,Match,Austria,Austria,Match,Collision between a train and a cyclist,Level crossing accident,Mismatch,Sicherheitsuntersuchungsstelle des Bundes - Schiene,Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene,Mismatch,"Bodenmarkierungen vor der EK fehlen zum Teil oder sind nur schlecht erkennbar, Sicht auf einen sich annähernden Zug durch Baumbewuchs eingeschränkt, Übersetzen der EK trotz Annäherung von Z 6229","Ursache war die Nichteinhaltung der Bestimmungen der EKVO betreffend dem Verhalten von Straßenbenützern beim Überqueren einer mit Andreaskreuz und Gewährleistung des erforderlichen Sichtraumes gesicherten EK. 
Cause of the accident was the non-observance of the provisions of the level crossing regulation [EKVO] regarding the behaviour of road users when crossing a level crossing equipped with a St Andrews Cross and providing the visibility required.",Mismatch,," 
",LLM_Data_Missing
49,AT-0141,gemini-2.5-pro,31/07/2012,31/07/2012,Match,18:56,18:56,Match,Austria,Austria,Match,Collision,Level crossing accident,Mismatch,Sicherheitsuntersuchungsstelle des Bundes,Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene,Mismatch,"Cyclist attempted to cross level crossing despite approaching train, Missing or poorly recognizable ground markings, Restricted visibility at level crossing due to tree growth","Ursache war die Nichteinhaltung der Bestimmungen der EKVO betreffend dem Verhalten von Straßenbenützern beim Überqueren einer mit Andreaskreuz und Gewährleistung des erforderlichen Sichtraumes gesicherten EK. 
Cause of the accident was the non-observance of the provisions of the level crossing regulation [EKVO] regarding the behaviour of road users when crossing a level crossing equipped with a St Andrews Cross and providing the visibility required.",Mismatch,," 
",LLM_Data_Missing
50,AT-0141,gpt-4o-mini,31/07/2012,31/07/2012,Match,18:56,18:56,Match,Österreich,Austria,Mismatch,Zusammenprall,Level crossing accident,Mismatch,Bundesanstalt für Verkehr,Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene,Mismatch,Unaufmerksamkeit des Radfahrers,"Ursache war die Nichteinhaltung der Bestimmungen der EKVO betreffend dem Verhalten von Straßenbenützern beim Überqueren einer mit Andreaskreuz und Gewährleistung des erforderlichen Sichtraumes gesicherten EK. 
Cause of the accident was the non-observance of the provisions of the level crossing regulation [EKVO] regarding the behaviour of road users when crossing a level crossing equipped with a St Andrews Cross and providing the visibility required.",Mismatch,Sichtbehinderung durch Baumbewuchs," 
",Mismatch
51,AT-0141,gpt-4o-mini,31/07/2012,31/07/2012,Match,18:56,18:56,Match,Österreich,Austria,Mismatch,Zusammenprall,Level crossing accident,Mismatch,Bundesanstalt für Verkehr,Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene,Mismatch,Übersetzen der EK trotz Annäherung von Zug 6229,"Ursache war die Nichteinhaltung der Bestimmungen der EKVO betreffend dem Verhalten von Straßenbenützern beim Überqueren einer mit Andreaskreuz und Gewährleistung des erforderlichen Sichtraumes gesicherten EK. 
Cause of the accident was the non-observance of the provisions of the level crossing regulation [EKVO] regarding the behaviour of road users when crossing a level crossing equipped with a St Andrews Cross and providing the visibility required.",Mismatch,Einschränkung der Sicht durch Baum-Bewuchs," 
",Mismatch
52,AT-0143,gemini-2.5-pro,02/01/2012,02/01/2012,Match,08:40,08:40,Match,Austria,Austria,Match,Collision,Level crossing accident,Mismatch,Bundesanstalt für Verkehr,Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene,Mismatch,Pedestrian's non-compliance with level crossing regulations,"Human error. Failure to observe the rules for road users (pedestrian) for the use of a level crossing secured by St. Andrews cross, stop sign and visible space.",Mismatch,,,Match (Both Missing)
